start_time,blog,post_count,title_fields,author_fields,date_fields,content_fields,labels_fields,comment-count_fields,title_cleaners,author_cleaners,date_cleaners,content_cleaners,labels_cleaners,comment-count_cleaners
2012-01-31 16:43:11.707256,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/www.danebramage.blogspot.com/,749,20,20,20,20,20,20,20,20,20,20,20,20
2012-01-31 16:43:12.121879,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/thelogicoftruth.blogspot.com/,268,20,20,20,20,20,20,20,20,20,20,20,20
2012-01-31 16:43:12.691462,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/hellishtruth.blogspot.com/,14,14,14,14,14,14,14,14,14,14,14,14,14
2012-01-31 16:43:12.760649,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/gaymarriedcalifornian.blogspot.com/,960,20,0,20,20,20,20,20,0,20,20,20,20
2012-01-31 16:43:13.258312,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/interestedamerican.blogspot.com/,5694,19,20,20,20,20,20,19,20,20,20,20,20
2012-01-31 16:43:14.291663,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/libsoc.blogspot.com/,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-31 16:43:14.292389,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/joshuapundit.blogspot.com/,6757,20,20,20,20,20,20,20,20,20,20,20,20
2012-01-31 16:43:15.376438,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/freeourfriends.blogspot.com/,28,0,0,0,0,0,20,0,0,0,0,0,20
2012-01-31 16:43:15.467868,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/thehappyhospitalist.blogspot.com/,4024,20,0,0,20,0,14,20,0,0,20,0,14
2012-01-31 16:43:16.188190,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/femikneesm.blogspot.com/,75,20,20,20,20,20,20,20,20,20,20,20,20
2012-01-31 16:43:16.444747,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/raasconsulting.blogspot.com/,140,20,20,20,20,20,20,20,20,20,20,20,20
2012-01-31 16:43:16.739650,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/civilwarflorida.blogspot.com/,588,20,20,20,20,20,20,20,20,20,20,20,20
2012-01-31 16:43:17.214809,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/energyoutlook.blogspot.com/,226,0,0,0,0,0,0,0,0,0,0,0,0
